State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2014,6.0,25.0,32.0,67.0,94.0,161.0,0.0,0.0,0.0,1.0,33.0,68.0,101.0,259.0
Alaska,2014,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0
Arizona,2014,78.0,36.0,29.0,312.0,768.0,1080.0,0.0,1.0,1.0,7.0,37.0,29.0,66.0,985.0
Arkansas,2014,4.0,13.0,43.0,42.0,59.0,101.0,0.0,0.0,0.0,1.0,13.0,24.0,37.0,157.0
California,2014,85.0,284.0,94.0,2407.0,6960.0,9367.0,0.0,22.0,22.0,46.0,107.0,130.0,237.0,7728.0
Colorado,2014,17.0,42.0,86.0,216.0,456.0,672.0,0.0,1.0,1.0,0.0,26.0,22.0,48.0,650.0
Connecticut,2014,3.0,15.0,3.0,202.0,356.0,558.0,0.0,1.0,1.0,1.0,12.0,5.0,17.0,396.0
Delaware,2014,1.0,1.0,1.0,16.0,26.0,42.0,0.0,1.0,1.0,0.0,6.0,1.0,7.0,37.0
District of Columbia,2014,7.0,2.0,3.0,62.0,134.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0
Florida,2014,17.0,42.0,62.0,585.0,1303.0,1888.0,0.0,0.0,0.0,1.0,33.0,29.0,62.0,1487.0
Georgia,2014,24.0,30.0,52.0,314.0,687.0,1001.0,0.0,0.0,0.0,2.0,22.0,36.0,58.0,853.0
Hawaii,2014,9.0,1.0,3.0,194.0,437.0,631.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,455.0
Idaho,2014,4.0,10.0,8.0,14.0,21.0,35.0,0.0,0.0,0.0,8.0,10.0,15.0,25.0,76.0
Illinois,2014,12.0,49.0,234.0,434.0,856.0,1290.0,0.0,1.0,1.0,1.0,53.0,51.0,104.0,1257.0
Indiana,2014,6.0,28.0,188.0,132.0,241.0,373.0,0.0,0.0,0.0,2.0,21.0,153.0,174.0,639.0
Iowa,2014,9.0,6.0,210.0,59.0,111.0,170.0,0.0,0.0,0.0,0.0,2.0,17.0,19.0,355.0
Kansas,2014,6.0,12.0,24.0,97.0,184.0,281.0,0.0,0.0,0.0,0.0,19.0,16.0,35.0,261.0
Kentucky,2014,4.0,5.0,62.0,40.0,106.0,146.0,0.0,0.0,0.0,1.0,6.0,41.0,47.0,225.0
Louisiana,2014,2.0,24.0,8.0,46.0,68.0,114.0,0.0,0.0,0.0,1.0,15.0,18.0,33.0,136.0
Maine,2014,3.0,2.0,0.0,30.0,41.0,71.0,0.0,0.0,0.0,0.0,6.0,9.0,15.0,61.0
Maryland,2014,8.0,11.0,34.0,294.0,674.0,968.0,0.0,0.0,0.0,0.0,9.0,11.0,20.0,747.0
Massachusetts,2014,12.0,24.0,9.0,301.0,750.0,1051.0,0.0,1.0,1.0,0.0,10.0,11.0,21.0,817.0
Michigan,2014,16.0,23.0,220.0,289.0,721.0,1010.0,0.0,4.0,4.0,0.0,25.0,56.0,81.0,1065.0
Minnesota,2014,10.0,17.0,278.0,211.0,454.0,665.0,0.0,0.0,0.0,0.0,11.0,18.0,29.0,788.0
Mississippi,2014,4.0,8.0,3.0,33.0,35.0,68.0,0.0,0.0,0.0,0.0,40.0,71.0,111.0,161.0
Missouri,2014,5.0,18.0,101.0,108.0,196.0,304.0,0.0,1.0,1.0,0.0,10.0,52.0,62.0,383.0
Montana,2014,6.0,2.0,2.0,4.0,10.0,14.0,0.0,0.0,0.0,0.0,7.0,43.0,50.0,70.0
Nebraska,2014,5.0,11.0,80.0,23.0,42.0,65.0,0.0,0.0,0.0,0.0,8.0,16.0,24.0,162.0
Nevada,2014,5.0,9.0,21.0,88.0,263.0,351.0,0.0,1.0,1.0,4.0,7.0,25.0,32.0,335.0
New Hampshire,2014,4.0,3.0,1.0,47.0,65.0,112.0,0.0,0.0,0.0,0.0,7.0,8.0,15.0,88.0
New Jersey,2014,5.0,25.0,5.0,145.0,266.0,411.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,310.0
New Mexico,2014,8.0,14.0,14.0,25.0,59.0,84.0,0.0,0.0,0.0,1.0,9.0,35.0,44.0,140.0
