State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2021,10.0,30.0,33.0,277.0,682.0,959.0,0.0,0.0,0.0,2.0,26.0,42.0,68.0,825.0
Alaska,2021,0.0,1.0,0.0,52.0,94.0,146.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,97.0
Arizona,2021,76.0,30.0,20.0,890.0,2259.0,3149.0,0.0,1.0,1.0,7.0,36.0,33.0,69.0,2462.0
Arkansas,2021,17.0,15.0,70.0,164.0,463.0,627.0,0.0,0.0,0.0,0.0,9.0,26.0,35.0,600.0
California,2021,27.0,323.0,271.0,14607.0,41237.0,55844.0,47.0,5.0,52.0,41.0,135.0,126.0,261.0,42212.0
Colorado,2021,6.0,31.0,96.0,1619.0,3992.0,5611.0,0.0,1.0,1.0,1.0,26.0,24.0,50.0,4177.0
Connecticut,2021,1.0,17.0,3.0,533.0,1430.0,1963.0,0.0,1.0,1.0,0.0,10.0,10.0,20.0,1472.0
Delaware,2021,0.0,2.0,2.0,134.0,314.0,448.0,0.0,1.0,1.0,0.0,6.0,3.0,9.0,328.0
District of Columbia,2021,8.0,2.0,4.0,291.0,826.0,1117.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,846.0
Florida,2021,8.0,56.0,112.0,2636.0,6748.0,9384.0,0.0,0.0,0.0,3.0,75.0,64.0,139.0,7066.0
Georgia,2021,4.0,46.0,67.0,1585.0,3947.0,5532.0,0.0,0.0,0.0,4.0,35.0,47.0,82.0,4150.0
Hawaii,2021,8.0,0.0,1.0,386.0,839.0,1225.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,851.0
Idaho,2021,0.0,11.0,5.0,139.0,345.0,484.0,0.0,0.0,0.0,0.0,10.0,14.0,24.0,385.0
Illinois,2021,19.0,39.0,304.0,1079.0,2764.0,3843.0,0.0,0.0,0.0,2.0,40.0,51.0,91.0,3219.0
Indiana,2021,7.0,31.0,247.0,357.0,971.0,1328.0,0.0,0.0,0.0,1.0,24.0,24.0,48.0,1305.0
Iowa,2021,8.0,11.0,341.0,281.0,584.0,865.0,0.0,0.0,0.0,0.0,25.0,11.0,36.0,980.0
Kansas,2021,7.0,21.0,63.0,493.0,1017.0,1510.0,0.0,0.0,0.0,1.0,6.0,28.0,34.0,1143.0
