State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2018,9.0,29.0,40.0,165.0,395.0,560.0,0.0,0.0,0.0,3.0,3.0,79.0,82.0,558.0
Alaska,2018,0.0,1.0,0.0,7.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0
Arizona,2018,77.0,28.0,22.0,480.0,1227.0,1707.0,0.0,0.0,0.0,8.0,20.0,66.0,86.0,1448.0
Arkansas,2018,3.0,14.0,43.0,70.0,124.0,194.0,0.0,0.0,0.0,1.0,1.0,38.0,39.0,224.0
California,2018,29.0,322.0,161.0,5480.0,21166.0,26646.0,36.0,6.0,42.0,47.0,54.0,238.0,292.0,22059.0
Colorado,2018,13.0,41.0,81.0,707.0,1788.0,2495.0,0.0,1.0,1.0,1.0,3.0,54.0,57.0,1982.0
Connecticut,2018,2.0,21.0,4.0,383.0,837.0,1220.0,0.0,2.0,2.0,1.0,6.0,16.0,22.0,889.0
Delaware,2018,1.0,1.0,1.0,50.0,133.0,183.0,0.0,1.0,1.0,0.0,5.0,3.0,8.0,145.0
District of Columbia,2018,7.0,2.0,3.0,124.0,337.0,461.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,350.0
Florida,2018,14.0,56.0,88.0,1265.0,3027.0,4292.0,0.0,0.0,0.0,3.0,13.0,126.0,139.0,3327.0
Georgia,2018,23.0,51.0,54.0,772.0,2188.0,2960.0,0.0,0.0,0.0,4.0,13.0,77.0,90.0,2410.0
Hawaii,2018,6.0,0.0,2.0,278.0,536.0,814.0,1.0,4.0,5.0,1.0,0.0,4.0,4.0,554.0
Idaho,2018,0.0,11.0,6.0,87.0,174.0,261.0,0.0,0.0,0.0,0.0,2.0,30.0,32.0,223.0
Illinois,2018,22.0,46.0,280.0,579.0,1399.0,1978.0,0.0,0.0,0.0,2.0,34.0,70.0,104.0,1853.0
Indiana,2018,5.0,33.0,211.0,225.0,489.0,714.0,0.0,0.0,0.0,1.0,14.0,51.0,65.0,804.0
Iowa,2018,10.0,10.0,267.0,129.0,296.0,425.0,0.0,0.0,0.0,0.0,3.0,30.0,33.0,616.0
Kansas,2018,1.0,23.0,26.0,198.0,783.0,981.0,0.0,0.0,0.0,1.0,2.0,37.0,39.0,873.0
Kentucky,2018,3.0,10.0,74.0,114.0,221.0,335.0,0.0,0.0,0.0,2.0,2.0,32.0,34.0,344.0
Louisiana,2018,6.0,23.0,12.0,102.0,213.0,315.0,0.0,0.0,0.0,1.0,18.0,47.0,65.0,320.0
Maine,2018,3.0,2.0,1.0,151.0,264.0,415.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,282.0
Maryland,2018,12.0,15.0,35.0,665.0,1752.0,2417.0,0.0,0.0,0.0,0.0,9.0,25.0,34.0,1848.0
Massachusetts,2018,12.0,15.0,7.0,649.0,1794.0,2443.0,0.0,2.0,2.0,1.0,2.0,31.0,33.0,1864.0
Michigan,2018,7.0,21.0,253.0,606.0,1382.0,1988.0,0.0,2.0,2.0,0.0,18.0,91.0,109.0,1774.0
Minnesota,2018,19.0,25.0,412.0,318.0,788.0,1106.0,0.0,0.0,0.0,0.0,10.0,38.0,48.0,1292.0
Mississippi,2018,4.0,6.0,5.0,58.0,119.0,177.0,0.0,0.0,0.0,3.0,7.0,79.0,86.0,223.0
Missouri,2018,2.0,21.0,98.0,409.0,1675.0,2084.0,0.0,0.0,0.0,1.0,11.0,66.0,77.0,1874.0
Montana,2018,7.0,1.0,2.0,43.0,96.0,139.0,0.0,0.0,0.0,0.0,2.0,43.0,45.0,151.0
Nebraska,2018,2.0,11.0,88.0,78.0,195.0,273.0,0.0,0.0,0.0,1.0,8.0,26.0,34.0,331.0
Nevada,2018,2.0,5.0,14.0,226.0,659.0,885.0,0.0,0.0,0.0,1.0,5.0,26.0,31.0,712.0
New Hampshire,2018,3.0,4.0,0.0,126.0,228.0,354.0,0.0,0.0,0.0,0.0,6.0,24.0,30.0,265.0
New Jersey,2018,5.0,27.0,6.0,309.0,749.0,1058.0,0.0,0.0,0.0,0.0,1.0,15.0,16.0,803.0
New Mexico,2018,5.0,11.0,12.0,70.0,181.0,251.0,0.0,0.0,0.0,1.0,5.0,58.0,63.0,273.0
New York,2018,34.0,74.0,72.0,1157.0,2562.0,3719.0,0.0,1.0,1.0,0.0,11.0,55.0,66.0,2809.0
North Carolina,2018,111.0,39.0,86.0,666.0,1488.0,2154.0,0.0,0.0,0.0,1.0,10.0,81.0,91.0,1816.0
North Dakota,2018,3.0,1.0,44.0,20.0,28.0,48.0,0.0,0.0,0.0,0.0,3.0,21.0,24.0,100.0
Ohio,2018,14.0,58.0,165.0,441.0,949.0,1390.0,0.0,2.0,2.0,5.0,17.0,76.0,93.0,1286.0
Oklahoma,2018,4.0,124.0,52.0,65.0,167.0,232.0,0.0,0.0,0.0,1.0,10.0,125.0,135.0,483.0
Oregon,2018,65.0,16.0,10.0,669.0,1544.0,2213.0,0.0,0.0,0.0,2.0,16.0,45.0,61.0,1698.0
Pennsylvania,2018,6.0,80.0,123.0,453.0,985.0,1438.0,0.0,0.0,0.0,3.0,13.0,86.0,99.0,1296.0
Rhode Island,2018,5.0,4.0,0.0,89.0,246.0,335.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,261.0
South Carolina,2018,24.0,11.0,66.0,270.0,554.0,824.0,0.0,1.0,1.0,1.0,7.0,42.0,49.0,706.0
South Dakota,2018,1.0,0.0,77.0,33.0,77.0,110.0,0.0,0.0,0.0,0.0,3.0,23.0,26.0,181.0
Tennessee,2018,21.0,23.0,78.0,458.0,1145.0,1603.0,0.0,0.0,0.0,5.0,5.0,66.0,71.0,1343.0
Texas,2018,16.0,119.0,220.0,1180.0,3138.0,4318.0,0.0,1.0,1.0,21.0,35.0,422.0,457.0,3972.0
Utah,2018,1.0,70.0,2.0,196.0,553.0,749.0,0.0,0.0,0.0,2.0,5.0,39.0,44.0,672.0
Vermont,2018,3.0,3.0,0.0,209.0,535.0,744.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,542.0
Virginia,2018,9.0,22.0,47.0,615.0,1446.0,2061.0,0.0,0.0,0.0,2.0,7.0,75.0,82.0,1608.0
Washington,2018,39.0,23.0,20.0,961.0,2573.0,3534.0,0.0,1.0,1.0,1.0,16.0,70.0,86.0,2743.0
West Virginia,2018,2.0,3.0,33.0,89.0,212.0,301.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,260.0
Wisconsin,2018,4.0,54.0,212.0,306.0,557.0,863.0,0.0,0.0,0.0,1.0,11.0,61.0,72.0,900.0
Wyoming,2018,4.0,13.0,12.0,45.0,121.0,166.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,179.0
Total,2018,680.0,1623.0,3627.0,22845.0,64106.0,86951.0,37.0,25.0,62.0,129.0,450.0,2867.0,3317.0,73544.0
