State,Year,Biodiesel,CNG,E85,Electric Stations,Electric Charging Outlets,Electric Total,Hydrogen Retail,Hydrogen Non-Retail,Hydrogen Total,LNG,Propane Primary,Propane Secondary,Propane Total,Total
Alabama,2016,5.0,32.0,32.0,113.0,227.0,340.0,0.0,0.0,0.0,2.0,2.0,90.0,92.0,390.0
Alaska,2016,0.0,1.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.0
Arizona,2016,76.0,36.0,25.0,424.0,988.0,1412.0,0.0,0.0,0.0,8.0,15.0,78.0,93.0,1226.0
Arkansas,2016,5.0,17.0,44.0,63.0,89.0,152.0,0.0,0.0,0.0,1.0,1.0,44.0,45.0,201.0
California,2016,42.0,319.0,119.0,4184.0,13655.0,17839.0,25.0,14.0,39.0,44.0,34.0,288.0,322.0,14540.0
Colorado,2016,16.0,46.0,88.0,445.0,978.0,1423.0,0.0,1.0,1.0,1.0,0.0,59.0,59.0,1189.0
Connecticut,2016,3.0,19.0,4.0,341.0,725.0,1066.0,0.0,2.0,2.0,1.0,3.0,19.0,22.0,776.0
Delaware,2016,1.0,1.0,1.0,30.0,67.0,97.0,0.0,1.0,1.0,0.0,5.0,4.0,9.0,80.0
District of Columbia,2016,8.0,3.0,4.0,102.0,241.0,343.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,257.0
Florida,2016,14.0,57.0,74.0,965.0,2091.0,3056.0,0.0,0.0,0.0,3.0,6.0,147.0,153.0,2392.0
Georgia,2016,24.0,48.0,56.0,591.0,1493.0,2084.0,0.0,0.0,0.0,4.0,6.0,90.0,96.0,1721.0
Hawaii,2016,8.0,1.0,2.0,249.0,566.0,815.0,0.0,4.0,4.0,0.0,1.0,5.0,6.0,587.0
Idaho,2016,2.0,11.0,6.0,60.0,133.0,193.0,0.0,0.0,0.0,6.0,4.0,30.0,34.0,192.0
Illinois,2016,12.0,56.0,263.0,524.0,1109.0,1633.0,0.0,1.0,1.0,2.0,42.0,81.0,123.0,1566.0
Indiana,2016,6.0,35.0,200.0,196.0,388.0,584.0,0.0,0.0,0.0,2.0,11.0,178.0,189.0,820.0
Iowa,2016,9.0,10.0,210.0,109.0,216.0,325.0,0.0,0.0,0.0,0.0,3.0,32.0,35.0,480.0
Kansas,2016,5.0,20.0,21.0,197.0,725.0,922.0,0.0,0.0,0.0,1.0,1.0,40.0,41.0,813.0
Kentucky,2016,4.0,11.0,72.0,82.0,167.0,249.0,0.0,0.0,0.0,1.0,2.0,36.0,38.0,293.0
Louisiana,2016,2.0,22.0,11.0,79.0,155.0,234.0,0.0,0.0,0.0,2.0,4.0,46.0,50.0,242.0
Maine,2016,3.0,2.0,0.0,111.0,181.0,292.0,0.0,0.0,0.0,0.0,4.0,11.0,15.0,201.0
Maryland,2016,11.0,16.0,34.0,499.0,1129.0,1628.0,0.0,0.0,0.0,1.0,3.0,29.0,32.0,1223.0
Massachusetts,2016,12.0,18.0,7.0,507.0,1243.0,1750.0,0.0,2.0,2.0,1.0,1.0,34.0,35.0,1318.0
Michigan,2016,10.0,27.0,254.0,534.0,1122.0,1656.0,0.0,2.0,2.0,0.0,11.0,97.0,108.0,1523.0
Minnesota,2016,7.0,25.0,314.0,286.0,687.0,973.0,0.0,0.0,0.0,0.0,11.0,40.0,51.0,1084.0
Mississippi,2016,4.0,5.0,3.0,41.0,64.0,105.0,0.0,0.0,0.0,2.0,4.0,93.0,97.0,175.0
Missouri,2016,3.0,22.0,92.0,295.0,1155.0,1450.0,0.0,0.0,0.0,1.0,6.0,62.0,68.0,1341.0
Montana,2016,7.0,1.0,2.0,36.0,76.0,112.0,0.0,0.0,0.0,0.0,2.0,53.0,55.0,141.0
Nebraska,2016,1.0,11.0,80.0,58.0,116.0,174.0,0.0,0.0,0.0,1.0,9.0,19.0,28.0,237.0
Nevada,2016,4.0,6.0,20.0,173.0,474.0,647.0,0.0,0.0,0.0,2.0,4.0,30.0,34.0,540.0
New Hampshire,2016,4.0,3.0,0.0,98.0,181.0,279.0,0.0,0.0,0.0,0.0,5.0,16.0,21.0,209.0
New Jersey,2016,5.0,28.0,5.0,244.0,494.0,738.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,553.0
New Mexico,2016,5.0,14.0,10.0,58.0,135.0,193.0,0.0,0.0,0.0,1.0,3.0,52.0,55.0,220.0
New York,2016,35.0,114.0,79.0,862.0,1677.0,2539.0,0.0,1.0,1.0,0.0,11.0,66.0,77.0,1983.0
North Carolina,2016,122.0,40.0,58.0,453.0,1015.0,1468.0,0.0,0.0,0.0,1.0,7.0,99.0,106.0,1342.0
North Dakota,2016,3.0,0.0,43.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,80.0
Ohio,2016,14.0,59.0,151.0,278.0,499.0,777.0,0.0,1.0,1.0,6.0,14.0,89.0,103.0,833.0
Oklahoma,2016,5.0,125.0,30.0,54.0,103.0,157.0,0.0,0.0,0.0,1.0,6.0,138.0,144.0,408.0
Oregon,2016,52.0,17.0,10.0,542.0,1249.0,1791.0,0.0,0.0,0.0,3.0,17.0,44.0,61.0,1392.0
Pennsylvania,2016,7.0,68.0,41.0,352.0,654.0,1006.0,0.0,1.0,1.0,3.0,9.0,94.0,103.0,877.0
Rhode Island,2016,6.0,5.0,0.0,80.0,201.0,281.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,219.0
South Carolina,2016,25.0,12.0,67.0,200.0,364.0,564.0,0.0,1.0,1.0,1.0,10.0,43.0,53.0,523.0
South Dakota,2016,2.0,1.0,74.0,23.0,40.0,63.0,0.0,0.0,0.0,0.0,3.0,24.0,27.0,144.0
Tennessee,2016,31.0,19.0,78.0,428.0,970.0,1398.0,0.0,0.0,0.0,5.0,3.0,85.0,88.0,1191.0
Texas,2016,17.0,132.0,193.0,998.0,2386.0,3384.0,0.0,1.0,1.0,20.0,20.0,467.0,487.0,3236.0
Utah,2016,1.0,90.0,1.0,127.0,291.0,418.0,0.0,0.0,0.0,8.0,3.0,45.0,48.0,439.0
Vermont,2016,3.0,3.0,1.0,161.0,380.0,541.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,389.0
Virginia,2016,11.0,21.0,22.0,427.0,991.0,1418.0,0.0,0.0,0.0,2.0,8.0,80.0,88.0,1135.0
